ptt,date,uid,day,month,year,depth,temp_min,temp_max,temp_mean
100974,20110627,1,27,6,2011,0,11,17.8,14.4
100974,20110627,1,27,6,2011,8,8.2,15.6,11.9
100974,20110627,1,27,6,2011,24,6.6,9.2,7.9
100974,20110627,1,27,6,2011,40,6,7.2,6.6
100974,20110627,1,27,6,2011,56,5.8,6.6,6.2
100974,20110627,1,27,6,2011,80,6,6.4,6.2
100974,20110627,1,27,6,2011,96,6,6.4,6.2
100974,20110627,1,27,6,2011,208,7.8,8.2,8
100974,20110630,2,30,6,2011,0,13,16.4,14.7
100974,20110630,2,30,6,2011,8,11,16.2,13.6
100974,20110630,2,30,6,2011,24,7,12.6,9.8
100974,20110630,2,30,6,2011,40,6.2,9,7.6
100974,20110630,2,30,6,2011,64,6,6.6,6.3
100974,20110630,2,30,6,2011,80,6,6.8,6.4
100974,20110630,2,30,6,2011,96,6.2,6.8,6.5
100974,20110630,2,30,6,2011,176,7,7,7
100974,20110711,3,11,7,2011,0,10.2,18.2,14.2
100974,20110711,3,11,7,2011,8,8.8,18.2,13.5
100974,20110711,3,11,7,2011,40,7.8,9.2,8.5
100974,20110711,3,11,7,2011,88,6.8,7.8,7.3
100974,20110711,3,11,7,2011,128,6.8,7.2,7
100974,20110711,3,11,7,2011,160,6.8,7.6,7.2
100974,20110711,3,11,7,2011,168,6.8,7.6,7.2
100974,20110711,3,11,7,2011,224,7.4,7.6,7.5
100974,20110712,4,12,7,2011,0,13.6,18.4,16
100974,20110712,4,12,7,2011,8,10.4,18.4,14.4
100974,20110712,4,12,7,2011,24,7.8,10.6,9.2
100974,20110712,4,12,7,2011,40,7,9,8
100974,20110712,4,12,7,2011,56,6.4,7.8,7.1
100974,20110712,4,12,7,2011,80,6.2,7.2,6.7
100974,20110712,4,12,7,2011,96,6.4,7,6.7
100974,20110712,4,12,7,2011,216,7.4,7.4,7.4
100974,20110713,5,13,7,2011,0,13.6,17.8,15.7
100974,20110713,5,13,7,2011,8,9.8,16.6,13.2
100974,20110713,5,13,7,2011,24,8.4,13,10.7
100974,20110713,5,13,7,2011,40,7.6,9,8.3
100974,20110713,5,13,7,2011,56,7,8.2,7.6
100974,20110713,5,13,7,2011,72,7,7.8,7.4
100974,20110713,5,13,7,2011,88,6.6,7.8,7.2
100974,20110713,5,13,7,2011,192,7,7.4,7.2
100974,20110718,6,18,7,2011,0,13.8,16,14.9
100974,20110718,6,18,7,2011,8,11.2,15.8,13.5
100974,20110718,6,18,7,2011,24,9.4,12.8,11.1
100974,20110718,6,18,7,2011,48,7.8,9,8.4
100974,20110718,6,18,7,2011,56,7.4,8.2,7.8
100974,20110718,6,18,7,2011,80,7.2,7.8,7.5
100974,20110718,6,18,7,2011,96,7,7.6,7.3
100974,20110718,6,18,7,2011,208,7,7.2,7.1
100974,20110725,7,25,7,2011,0,17.2,20.2,18.7
100974,20110725,7,25,7,2011,8,9.6,19.6,14.6
100974,20110725,7,25,7,2011,40,7.6,9.4,8.5
100974,20110725,7,25,7,2011,80,6.4,7.8,7.1
100974,20110725,7,25,7,2011,128,6.4,7.2,6.8
100974,20110725,7,25,7,2011,144,6.6,7.8,7.2
100974,20110725,7,25,7,2011,168,7.2,8,7.6
100974,20110725,7,25,7,2011,256,8.4,8.4,8.4
100974,20110801,8,1,8,2011,0,19.6,20.6,20.1
100974,20110801,8,1,8,2011,8,15.4,20.2,17.8
100974,20110801,8,1,8,2011,24,7.4,14.8,11.1
100974,20110801,8,1,8,2011,40,5.6,8.6,7.1
100974,20110801,8,1,8,2011,56,5.6,6.4,6
100974,20110801,8,1,8,2011,72,5.8,6.4,6.1
100974,20110801,8,1,8,2011,88,5.8,6.4,6.1
100974,20110801,8,1,8,2011,216,7.8,8,7.9
100974,20110802,9,2,8,2011,0,19.4,21.6,20.5
100974,20110802,9,2,8,2011,8,12.2,21.2,16.7
100974,20110802,9,2,8,2011,40,6.2,10.8,8.5
100974,20110802,9,2,8,2011,80,5.8,7.2,6.5
100974,20110802,9,2,8,2011,128,7,7.6,7.3
100974,20110802,9,2,8,2011,160,7.4,8,7.7
100974,20110802,9,2,8,2011,168,7.6,8.2,7.9
100974,20110802,9,2,8,2011,224,8.2,8.2,8.2
100974,20110803,10,3,8,2011,0,19.2,21.4,20.3
100974,20110803,10,3,8,2011,8,13,21.4,17.2
100974,20110803,10,3,8,2011,40,6.2,9.6,7.9
100974,20110803,10,3,8,2011,88,6.2,7,6.6
100974,20110803,10,3,8,2011,128,6.8,7.6,7.2
100974,20110803,10,3,8,2011,160,7.2,8.2,7.7
100974,20110803,10,3,8,2011,168,7.2,8.2,7.7
100974,20110803,10,3,8,2011,240,8.4,8.4,8.4
100974,20110804,11,4,8,2011,0,14,21.6,17.8
100974,20110804,11,4,8,2011,8,11.4,21.6,16.5
100974,20110804,11,4,8,2011,40,6.6,9.8,8.2
100974,20110804,11,4,8,2011,96,6.2,7,6.6
100974,20110804,11,4,8,2011,120,6.6,7.2,6.9
100974,20110804,11,4,8,2011,160,7,8,7.5
100974,20110804,11,4,8,2011,168,7.2,8.2,7.7
100974,20110804,11,4,8,2011,240,8.4,8.4,8.4
100974,20110808,12,8,8,2011,0,18.2,21.2,19.7
100974,20110808,12,8,8,2011,8,11.8,20.2,16
100974,20110808,12,8,8,2011,24,8.6,12.8,10.7
100974,20110808,12,8,8,2011,40,7.8,10,8.9
100974,20110808,12,8,8,2011,64,7.2,8.8,8
100974,20110808,12,8,8,2011,80,6.6,8.2,7.4
100974,20110808,12,8,8,2011,96,6.4,7.6,7
100974,20110808,12,8,8,2011,200,8.2,8.2,8.2
100974,20110814,13,14,8,2011,0,18.8,20.6,19.7
100974,20110814,13,14,8,2011,8,11.2,20.4,15.8
100974,20110814,13,14,8,2011,24,9,16,12.5
100974,20110814,13,14,8,2011,40,7.6,10.4,9
100974,20110814,13,14,8,2011,64,6.8,8.6,7.7
100974,20110814,13,14,8,2011,80,6.6,8.2,7.4
100974,20110814,13,14,8,2011,88,6.6,8,7.3
100974,20110814,13,14,8,2011,192,7.6,8,7.8
100974,20110815,14,15,8,2011,0,17.6,20,18.8
100974,20110815,14,15,8,2011,8,10.6,20,15.3
100974,20110815,14,15,8,2011,24,8.2,17.8,13
100974,20110815,14,15,8,2011,40,7.2,9.6,8.4
100974,20110815,14,15,8,2011,64,7,8.6,7.8
100974,20110815,14,15,8,2011,80,6.8,7.6,7.2
100974,20110815,14,15,8,2011,88,6.6,7.4,7
100974,20110815,14,15,8,2011,176,7.4,7.4,7.4
100974,20110816,15,16,8,2011,0,16.6,18.4,17.5
100974,20110816,15,16,8,2011,8,10.6,18.4,14.5
100974,20110816,15,16,8,2011,24,8.4,16.2,12.3
100974,20110816,15,16,8,2011,40,7.2,10.2,8.7
100974,20110816,15,16,8,2011,56,7.2,8.8,8
100974,20110816,15,16,8,2011,80,7,8.2,7.6
100974,20110816,15,16,8,2011,88,6.8,7.6,7.2
100974,20110816,15,16,8,2011,216,7.8,8.2,8
100974,20110817,16,17,8,2011,0,17.2,18.8,18
100974,20110817,16,17,8,2011,8,12.4,18.8,15.6
100974,20110817,16,17,8,2011,24,8.8,15.2,12
100974,20110817,16,17,8,2011,40,7.2,10,8.6
100974,20110817,16,17,8,2011,64,7,8.6,7.8
100974,20110817,16,17,8,2011,72,6.8,8.4,7.6
100974,20110817,16,17,8,2011,96,6.8,7.8,7.3
100974,20110817,16,17,8,2011,192,8,8.2,8.1
100974,20110820,17,20,8,2011,0,19,20.2,19.6
100974,20110820,17,20,8,2011,8,13.8,20,16.9
100974,20110820,17,20,8,2011,40,7.6,10.2,8.9
100974,20110820,17,20,8,2011,80,6.8,7.8,7.3
100974,20110820,17,20,8,2011,120,6.8,7.2,7
100974,20110820,17,20,8,2011,152,7,7.6,7.3
100974,20110820,17,20,8,2011,192,7.8,8.2,8
100974,20110820,17,20,8,2011,232,8.4,8.4,8.4
100974,20110821,18,21,8,2011,0,19.2,20.4,19.8
100974,20110821,18,21,8,2011,8,16.8,20.4,18.6
100974,20110821,18,21,8,2011,24,9,18.4,13.7
100974,20110821,18,21,8,2011,40,7.8,9.8,8.8
100974,20110821,18,21,8,2011,56,7.2,8.4,7.8
100974,20110821,18,21,8,2011,72,7,8,7.5
100974,20110821,18,21,8,2011,96,6.2,7,6.6
100974,20110821,18,21,8,2011,216,8.2,8.2,8.2
100974,20110822,19,22,8,2011,0,18.4,19.6,19
100974,20110822,19,22,8,2011,8,13.2,19.6,16.4
100974,20110822,19,22,8,2011,24,9.4,14.4,11.9
100974,20110822,19,22,8,2011,40,6.8,9.4,8.1
100974,20110822,19,22,8,2011,64,6.2,8.2,7.2
100974,20110822,19,22,8,2011,80,6.4,7.6,7
100974,20110822,19,22,8,2011,88,6.2,7.2,6.7
100974,20110822,19,22,8,2011,192,8.2,8.2,8.2
100974,20110823,20,23,8,2011,0,19.2,19.6,19.4
100974,20110823,20,23,8,2011,8,15.4,20,17.7
100974,20110823,20,23,8,2011,24,9,19,14
100974,20110823,20,23,8,2011,40,7.2,9.2,8.2
100974,20110823,20,23,8,2011,56,6.4,7.8,7.1
100974,20110823,20,23,8,2011,72,6.2,7.4,6.8
100974,20110823,20,23,8,2011,88,6.2,7.2,6.7
100974,20110823,20,23,8,2011,200,7.6,7.6,7.6
100974,20110824,21,24,8,2011,0,19.2,20.2,19.7
100974,20110824,21,24,8,2011,8,14.8,20.2,17.5
100974,20110824,21,24,8,2011,24,8.2,16.6,12.4
100974,20110824,21,24,8,2011,40,7,8.4,7.7
100974,20110824,21,24,8,2011,64,6.2,7.4,6.8
100974,20110824,21,24,8,2011,80,6.2,7.2,6.7
100974,20110824,21,24,8,2011,96,6.2,7.2,6.7
100974,20110824,21,24,8,2011,208,7.6,7.6,7.6
100974,20110825,22,25,8,2011,0,18.6,20.2,19.4
100974,20110825,22,25,8,2011,8,16.4,20.2,18.3
100974,20110825,22,25,8,2011,24,8.4,19,13.7
100974,20110825,22,25,8,2011,40,6.4,9.6,8
100974,20110825,22,25,8,2011,56,5.8,8.8,7.3
100974,20110825,22,25,8,2011,72,6,7.8,6.9
100974,20110825,22,25,8,2011,88,6.2,7.4,6.8
100974,20110825,22,25,8,2011,216,8.2,8.2,8.2
100974,20110830,23,30,8,2011,0,14.2,15.2,14.7
100974,20110830,23,30,8,2011,8,14.2,15.2,14.7
100974,20110830,23,30,8,2011,24,10.4,15,12.7
100974,20110830,23,30,8,2011,40,7.2,11.6,9.4
100974,20110830,23,30,8,2011,56,6.4,8.6,7.5
100974,20110830,23,30,8,2011,80,6.6,7.8,7.2
100974,20110830,23,30,8,2011,96,6.6,7.4,7
100974,20110830,23,30,8,2011,184,8,8,8
100974,20110831,24,31,8,2011,0,15.2,17.2,16.2
100974,20110831,24,31,8,2011,8,14.8,16.4,15.6
100974,20110831,24,31,8,2011,40,7,12.2,9.6
100974,20110831,24,31,8,2011,72,6.4,8.8,7.6
100974,20110831,24,31,8,2011,128,7.2,7.6,7.4
100974,20110831,24,31,8,2011,152,7.4,8,7.7
100974,20110831,24,31,8,2011,192,8,8.4,8.2
100974,20110831,24,31,8,2011,232,8.4,8.4,8.4
100974,20110902,25,2,9,2011,0,15.2,17.4,16.3
100974,20110902,25,2,9,2011,8,14.4,16.8,15.6
100974,20110902,25,2,9,2011,24,9.6,15,12.3
100974,20110902,25,2,9,2011,40,8.6,12.2,10.4
100974,20110902,25,2,9,2011,64,7.8,9.4,8.6
100974,20110902,25,2,9,2011,80,7.6,8.6,8.1
100974,20110902,25,2,9,2011,88,7.2,8.4,7.8
100974,20110902,25,2,9,2011,192,8.2,8.2,8.2
100974,20110903,26,3,9,2011,0,15.4,17.6,16.5
100974,20110903,26,3,9,2011,8,14.2,17.2,15.7
100974,20110903,26,3,9,2011,24,10.6,14.6,12.6
100974,20110903,26,3,9,2011,40,8.6,12,10.3
100974,20110903,26,3,9,2011,56,8.2,9.4,8.8
100974,20110903,26,3,9,2011,80,7.4,8.2,7.8
100974,20110903,26,3,9,2011,96,7,7.8,7.4
100974,20110903,26,3,9,2011,184,8,8,8
100974,20110906,27,6,9,2011,0,15.8,16.8,16.3
100974,20110906,27,6,9,2011,8,14,16.8,15.4
100974,20110906,27,6,9,2011,24,10.2,16.2,13.2
100974,20110906,27,6,9,2011,40,8.4,11.2,9.8
100974,20110906,27,6,9,2011,64,8,9.2,8.6
100974,20110906,27,6,9,2011,80,7.4,8.6,8
100974,20110906,27,6,9,2011,96,7.2,8.2,7.7
100974,20110906,27,6,9,2011,192,8,8,8
100974,20110907,28,7,9,2011,0,15.8,17,16.4
100974,20110907,28,7,9,2011,8,13,17,15
100974,20110907,28,7,9,2011,24,10.6,14.8,12.7
100974,20110907,28,7,9,2011,40,8.6,11,9.8
100974,20110907,28,7,9,2011,64,7.8,9.8,8.8
